METHOD,ROUTES,TOTAL_DISTANCE_KM,TOTAL_DURATION_MIN,MAX_ROUTE_LOAD,FEASIBLE,GAP_TO_OPTIMUM_PCT,SAVING_VS_SEPARATE_PCT
Entregas separadas,7,848.6868000000001,901.4133333333333,36,True,108.68765952424278,0.0
Vecino más cercano,3,487.3632,550.3083333333333,71,True,19.840070030835207,42.57443381940193
Clarke-Wright,3,406.678,460.4016666666667,72,True,0.0,52.08149814513434
Exacto (DP),3,406.678,460.21833333333336,72,True,0.0,52.08149814513434
