DEPTH_P,QUBITS,RESTARTS,BEST_NFEV,TOTAL_RUNTIME_S,NORMALIZED_EXPECTATION,EXPECTED_QUBO_ENERGY,FEASIBILITY_PROBABILITY,OPTIMUM_PROBABILITY,OPTIMUM_PROBABILITY_CONDITIONAL,MODAL_STATE_INDEX,MODAL_STATE_PROBABILITY,MODAL_STATE_IS_FEASIBLE,BEST_FEASIBLE_STATE_INDEX,BEST_FEASIBLE_STATE_PROBABILITY,BEST_FEASIBLE_ROUTE_KM,BEST_PARAMETERS
1,9,6,180,1.866065799986245,0.09372116908629907,736.9460332026883,0.09666723193063854,0.03238438895022608,0.335008961190311,273,0.016192194475113043,True,273,0.016192194475113043,176.2848,"[6.710371256851657, 2.7077305357729924]"
2,9,6,180,1.722796100017149,0.08335389051060507,674.9266276844729,0.1366312493621015,0.04582309561795829,0.33537785705609313,273,0.02291154780897915,True,273,0.02291154780897915,176.2848,"[3.908214012900433, 6.066519769263053, 2.8874598086017054, 2.85419085037127]"
3,9,6,180,1.7821657999884337,0.08209984947698748,667.4246705572909,0.1483666087191154,0.049750870381555665,0.33532390347846386,84,0.024875435190777836,True,84,0.024875435190777836,176.2848,"[6.109981943881064, 2.672818338424318, 2.7831482907109173, -0.2971982290117562, 0.006437524214448829, 2.9381777253373667]"
