CAPACITY_UNITS,ROUTES,TOTAL_DISTANCE_KM,TOTAL_DEMAND_UNITS,TOTAL_CAPACITY_UNITS,AGGREGATE_SLACK_UNITS,IS_SELECTED
55,4,543.7145,184,220,36,False
60,4,500.9538,184,240,56,False
65,4,496.72159999999997,184,260,76,False
70,3,441.9178,184,210,26,False
75,3,406.678,184,225,41,True
80,3,401.4836,184,240,56,False
90,3,388.1394,184,270,86,False
100,2,320.3768,184,200,16,False
120,2,291.9225,184,240,56,False
184,1,205.62130000000002,184,184,0,False
