RESOURCE,VALUE
QUBITS,9
HILBERT_STATES,512
VALID_ROUTES,6
LINEAR_TERMS,9
QUADRATIC_TERMS,30
BEST_DEPTH,3
QISKIT_AVAILABLE,True
QISKIT_CIRCUIT_DEPTH,73
QISKIT_CIRCUIT_SIZE,333
QISKIT_NUMPY_MAX_PROBABILITY_DIFF,6.938893903907228e-17
