DESTINATIONS,POSITION_VARIABLES_QUBITS,VALID_ROUTES,LOG10_HILBERT_STATES,LOG10_FEASIBLE_FRACTION
2,4,2,1.2041199826559248,-0.9030899869919435
3,9,6,2.709269960975831,-1.9311187105921872
4,16,24,4.816479930623699,-3.4362686889120932
5,25,120,7.52574989159953,-5.4465686455519045
6,36,720,10.837079843903323,-7.979747347472054
7,49,5040,14.750469787535078,-11.048039251089552
