ROUTE_ID,VEHICLE_CAPACITY,LOAD_UNITS,UTILIZATION_PCT,DISTANCE_KM,DURATION_MIN,STOPS,ROUTE_NODE_IDS,ROUTE_NAMES
R01,75,63,84.0,116.6026,125.73666666666666,2,DC00 -> IP01 -> IP02 -> DC00,ALMACÉN ESPECIALIZADO DE MEDICAMENTOS DE LA RIS TAYACAJA -> COLCABAMBA -> CARPAPATA -> ALMACÉN ESPECIALIZADO DE MEDICAMENTOS DE LA RIS TAYACAJA
R02,75,72,96.0,176.28480000000002,205.055,3,DC00 -> IP03 -> IP06 -> IP05 -> DC00,ALMACÉN ESPECIALIZADO DE MEDICAMENTOS DE LA RIS TAYACAJA -> POCCYACC -> CHACHAS -> TOCAS -> ALMACÉN ESPECIALIZADO DE MEDICAMENTOS DE LA RIS TAYACAJA
R03,75,49,65.33333333333333,113.7906,129.42666666666668,2,DC00 -> IP04 -> IP07 -> DC00,ALMACÉN ESPECIALIZADO DE MEDICAMENTOS DE LA RIS TAYACAJA -> OCORO -> RANRA -> ALMACÉN ESPECIALIZADO DE MEDICAMENTOS DE LA RIS TAYACAJA
