PARAMETER,VALUE
SOURCE_NODE_ID,DC00
SOURCE_NAME,ALMACÉN ESPECIALIZADO DE MEDICAMENTOS DE LA RIS TAYACAJA
OBJECTIVE,ROAD_DISTANCE_KM_OSRM
SUBROUTE_ID,R02
SUBROUTE_DESTINATIONS,IP03|IP06|IP05
QUBO_ENCODING,DESTINATION_POSITION
PENALTY_MULTIPLIER,2.5
PENALTY_A,229.21675
QAOA_DEPTHS,1|2|3
QAOA_RESTARTS,6
QAOA_MAXITER,180
SHOTS,4096
SIMULATOR,EXACT_NUMPY_STATEVECTOR
CLAIM,PROOF_OF_CONCEPT_NO_QUANTUM_ADVANTAGE
