SNAPSHOT_DATE,SNAPSHOT_ID,SNAPSHOT_ORDER,SOURCE_FILE,SOURCE_ROW,INSTITUCION,COD_IPRESS,NOMBRE,CLASIFICACION,TIPO_ESTABLECIMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,DIRECCION,CO_DISA,COD_RED,COD_MICRORRED,DISA,RED,MICRORED,COD_UE,UNIDAD_EJECUTORA,CATEGORIA,TELEFONO,HORARIO,INICIO_ACTIVIDAD,ESTADO,NORTE,ESTE,IMAGEN_1,FE_ACT_IMAGEN_1,IMAGEN_2,FE_ACT_IMAGEN_2,IMAGEN_3,FE_ACT_IMAGEN_3,COD_IPRESS_VALID,LATITUD,LONGITUD,COORD_VALID_PERU,COMPLETENESS_SCORE,EXCLUSION_REASON
,MES_3,3,RENIPRESS_mes_3.csv,23826,GOBIERNO REGIONAL,00004096,TOCCLLACURI,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,HUANCAVELICA,TAYACAJA,COLCABAMBA,90705,PLAZA PRINCIPAL S/N - TOCLLACURI,13.0,59.0,445.0,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,1645.0,RED DE SALUD TAYACAJA,I-1,916065548,8:00 - 14:00,1998-12-15 00:00:00,ACTIVO,-12.34669495,-74.79546134,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4096_40974482_1441731886126.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4096_40974482_1441736404689.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4096_40974482_1441736444628.png,,True,-12.34669495,-74.79546134,True,11,Fuera del alcance: MICRORED distinta de COLCABAMBA
,MES_3,3,RENIPRESS_mes_3.csv,5214,GOBIERNO REGIONAL,00007450,RUNDOVILCA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,HUANCAVELICA,TAYACAJA,COLCABAMBA,90705,PLAZA PRINCIPAL S/N - RONDUVILCA,13.0,59.0,445.0,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,1645.0,RED DE SALUD TAYACAJA,I-1,987409258,7:00 - 13.00,2009-05-04 00:00:00,ACTIVO,-12.32449275,-74.78192505,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_7450_40974482_1441739808424.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_7450_40974482_1441739961103.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_7450_40974482_1441739994190.png,,True,-12.32449275,-74.78192505,True,11,Fuera del alcance: MICRORED distinta de COLCABAMBA
,MES_3,3,RENIPRESS_mes_3.csv,20618,OTRO,00025329,POSTA MEDICA CAMPO ARMIÑO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,HUANCAVELICA,TAYACAJA,COLCABAMBA,90705,CAMPAMENTO CAMPO ARMIÑO,13.0,0.0,0.0,HUANCAVELICA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,,,I-2,17083400,08:00 - 20:00,2017-12-25 00:00:00,ACTIVO,-12.96719,-75.573921,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171229095922.jpg,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171229095930.jpg,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171229100001.jpg,,True,-12.96719,-75.573921,True,11,Fuera del alcance: MICRORED distinta de COLCABAMBA
