NODE_ID,NOMBRE,CATEGORIA,BASE_DEMAND,DEMAND_MEAN,SELECTED_DEMAND_UNITS,CONTINGENCY_UNITS,SELECTED_SCENARIO,SELECTED_QUANTILE
IP01,COLCABAMBA,I-4,24,32.295,36,12,TENSION,0.9
IP02,CARPAPATA,I-2,18,24.182,27,9,TENSION,0.9
IP03,POCCYACC,I-1,14,19.025,22,8,TENSION,0.9
IP04,OCORO,I-2,18,24.206,27,9,TENSION,0.9
IP05,TOCAS,I-2,18,24.279,28,10,TENSION,0.9
IP06,CHACHAS,I-1,14,18.767,22,8,TENSION,0.9
IP07,RANRA,I-1,14,19.041,22,8,TENSION,0.9
