NODE_ID,NOMBRE,NEAREST_NODE_ID,NEAREST_NAME,NEAREST_ROAD_DISTANCE_KM,NEAREST_DURATION_MIN
IP04,OCORO,IP07,RANRA,7.261699999999999,11.56
IP07,RANRA,IP04,OCORO,7.261699999999999,11.551666666666668
IP05,TOCAS,IP01,COLCABAMBA,8.9933,10.608333333333333
IP01,COLCABAMBA,IP05,TOCAS,8.9933,10.758333333333333
IP03,POCCYACC,IP05,TOCAS,9.171700000000001,12.783333333333333
IP02,CARPAPATA,IP07,RANRA,18.9109,30.008333333333333
IP06,CHACHAS,IP05,TOCAS,20.9038,31.866666666666667
