NODE_ID,NOMBRE,CATEGORIA,GEODESIC_DISTANCE_KM,ROAD_DISTANCE_KM,DURATION_MIN,DETOUR_RATIO
IP02,CARPAPATA,I-2,13.257097725979127,34.687400000000004,36.766666666666666,2.6165153728953223
IP07,RANRA,I-1,15.38941240445465,51.9861,57.955000000000005,3.3780432048823386
IP04,OCORO,I-2,16.45749215754069,54.5428,59.97833333333333,3.31416229628941
IP01,COLCABAMBA,I-4,20.640689577808224,57.4952,58.55166666666666,2.7855270911983383
IP05,TOCAS,I-2,24.192656728427988,66.2536,68.34666666666666,2.73858306442829
IP03,POCCYACC,I-1,25.514866320209535,67.69160000000001,73.02,2.65302585365237
IP06,CHACHAS,I-1,27.601714796552194,91.6867,96.16000000000001,3.3217755011167944
