NODE_ID,NODE_ORDER,COD_IPRESS,NOMBRE,CATEGORIA,LATITUD,LONGITUD,INSTITUCION,TIPO_ESTABLECIMIENTO,RED,MICRORED
IP01,0,00004090,COLCABAMBA,I-4,-12.40849167,-74.68123,GOBIERNO REGIONAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,TAYACAJA,COLCABAMBA
IP02,1,00004092,CARPAPATA,I-2,-12.38814,-74.74961,GOBIERNO REGIONAL,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,TAYACAJA,COLCABAMBA
IP03,2,00004093,POCCYACC,I-1,-12.47788,-74.65011,GOBIERNO REGIONAL,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,TAYACAJA,COLCABAMBA
IP04,3,00004094,OCORO,I-2,-12.34990656,-74.72845321,GOBIERNO REGIONAL,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,TAYACAJA,COLCABAMBA
IP05,4,00004095,TOCAS,I-2,-12.4425855,-74.6526403,GOBIERNO REGIONAL,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,TAYACAJA,COLCABAMBA
IP06,5,00007387,CHACHAS,I-1,-12.42781511,-74.61853358,GOBIERNO REGIONAL,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,TAYACAJA,COLCABAMBA
IP07,6,00012900,RANRA,I-1,-12.3405385,-74.74307409,GOBIERNO REGIONAL,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,TAYACAJA,COLCABAMBA
