NODE_A_ID,NODE_A_NAME,NODE_B_ID,NODE_B_NAME,ROAD_DISTANCE_KM
IP01,COLCABAMBA,IP05,TOCAS,8.9933
IP05,TOCAS,IP03,POCCYACC,9.171700000000001
IP05,TOCAS,IP06,CHACHAS,20.9038
IP01,COLCABAMBA,IP02,CARPAPATA,24.42
IP02,CARPAPATA,IP07,RANRA,18.9109
IP07,RANRA,IP04,OCORO,7.261699999999999
