NODE_INDEX,NODE_ID,COD_IPRESS,NOMBRE,CATEGORIA,LATITUD,LONGITUD,ROLE,DEMAND_UNITS
0,DC00,,ALMACÉN ESPECIALIZADO DE MEDICAMENTOS DE LA RIS TAYACAJA,CENTRO LOGÍSTICO,-12.39986237,-74.87108715,SOURCE,0
1,IP01,00004090,COLCABAMBA,I-4,-12.40849167,-74.68123,DESTINATION,36
2,IP02,00004092,CARPAPATA,I-2,-12.38814,-74.74961,DESTINATION,27
3,IP03,00004093,POCCYACC,I-1,-12.47788,-74.65011,DESTINATION,22
4,IP04,00004094,OCORO,I-2,-12.34990656,-74.72845321,DESTINATION,27
5,IP05,00004095,TOCAS,I-2,-12.4425855,-74.6526403,DESTINATION,28
6,IP06,00007387,CHACHAS,I-1,-12.42781511,-74.61853358,DESTINATION,22
7,IP07,00012900,RANRA,I-1,-12.3405385,-74.74307409,DESTINATION,22
