NODE_ID,NOMBRE,OSRM_SNAP_DISTANCE_M
IP01,COLCABAMBA,10.74456962
IP02,CARPAPATA,10.25520611
IP03,POCCYACC,20.39839131
IP04,OCORO,18.22797654
IP05,TOCAS,19.65110895
IP06,CHACHAS,19.30081413
IP07,RANRA,9.385010046
